p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_median,f_end
50,0.1,0,AR2,pcglasso,C,9.999999999999982e-9,0.12599999999997635,37.18144846037992
50,0.1,0,AR2,pcglasso,C,3.5111917342151263e-8,0.11050000000000182,37.18144845929006
50,0.1,0,AR2,pcglasso,C,1.2328467394420646e-7,0.09700000000009368,37.18144874861069
50,0.1,0,AR2,pcglasso,C,4.328761281083054e-7,0.08849999999995362,37.18145076935369
50,0.1,0,AR2,pcglasso,C,1.5199110829529328e-6,0.07399999999995543,37.181479138743384
50,0.1,0,AR2,pcglasso,C,5.336699231206308e-6,0.06299999999987449,37.18187992775643
50,0.1,0,AR2,pcglasso,C,1.873817422860384e-5,0.050500000000170076,37.186083775865136
50,0.1,0,AR2,pcglasso,C,6.579332246575681e-5,0.045999999999935426,37.23391647351631
50,0.1,0,AR2,pcglasso,C,2.310129700083161e-4,0.014000000000123691,39.03937282816632
50,0.1,0,AR2,pcglasso,C,8.11130830789687e-4,0.008000000000038199,40.77215650145825
50,0.1,0,AR2,pcglasso,C,0.002848035868435802,0.006999999999948159,50.73249385643346
50,0.1,0,AR2,pcglasso,C,0.010000000000000004,0.005999999999971806,46.574345549651
50,0.1,0,AR2,pcglasso,I,9.999999999999982e-9,0.1150000000000091,37.181448447132055
50,0.1,0,AR2,pcglasso,I,3.5111917342151263e-8,0.10399999999992815,37.18144846032905
50,0.1,0,AR2,pcglasso,I,1.2328467394420646e-7,0.09199999999998454,37.18144876802519
50,0.1,0,AR2,pcglasso,I,4.328761281083054e-7,0.07799999999997453,37.18145089958261
50,0.1,0,AR2,pcglasso,I,1.5199110829529328e-6,0.07199999999988904,37.18147980727408
50,0.1,0,AR2,pcglasso,I,5.336699231206308e-6,0.05800000000010641,37.18189008561126
50,0.1,0,AR2,pcglasso,I,1.873817422860384e-5,0.04500000000007276,37.18588194579705
50,0.1,0,AR2,pcglasso,I,6.579332246575681e-5,0.15449999999987085,37.217373120824895
50,0.1,0,AR2,pcglasso,I,2.310129700083161e-4,0.01599999999996271,37.417219151533544
50,0.1,0,AR2,pcglasso,I,8.11130830789687e-4,0.0074999999998226485,39.04675820593725
50,0.1,0,AR2,pcglasso,I,0.002848035868435802,0.005999999999858119,39.48144951473458
50,0.1,0,AR2,pcglasso,I,0.010000000000000004,0.0060000000000854925,39.0858458156763
50,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,0.02400000000000091,37.18144845600822
50,0.1,0,AR2,pcglassoFast_Dual,C,3.5111917342151263e-8,0.022499999999922693,37.181448483078995
50,0.1,0,AR2,pcglassoFast_Dual,C,1.2328467394420646e-7,0.022000000000048203,37.181448576270526
50,0.1,0,AR2,pcglassoFast_Dual,C,4.328761281083054e-7,0.02100000000007185,37.18144891171923
50,0.1,0,AR2,pcglassoFast_Dual,C,1.5199110829529328e-6,0.01999999999998181,37.181450123059705
50,0.1,0,AR2,pcglassoFast_Dual,C,5.336699231206308e-6,0.01850000000001728,37.181454123274655
