p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,22.095000000000002,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,21.756000000000004,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,22.520000000000003,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,22.686,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,22.677999999999997,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,21.184,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,21.819000000000003,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,22.723,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,22.506999999999998,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,21.637,68.66445710019707,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,247.37,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,245.90400000000002,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,246.874,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,245.986,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,245.905,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,245.27900000000002,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,245.29900000000004,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,245.317,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,247.72799999999998,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,246.837,72.11594694918831,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,84.198,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,83.232,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,82.91799999999999,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,83.455,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,83.209,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,83.70200000000001,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,82.82799999999999,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,82.791,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,83.328,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,83.039,107.79923205304065,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,164.858,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,164.852,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,163.525,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,164.92600000000002,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,163.873,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,163.805,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,164.25,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,165.322,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,164.897,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,163.31199999999998,110.60045747160032,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.456999999999999,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.2490000000000006,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,1.2430000000000003,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,1.4640000000000004,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,1.209999999999999,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,1.202,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,1.1960000000000015,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,1.193999999999999,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,0.8320000000000007,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,0.8260000000000005,197.26435205158268,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.2180000000000035,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.1880000000000024,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,1.178999999999995,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,1.186,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,1.171999999999997,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,1.1850000000000023,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,1.181999999999995,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,1.1780000000000044,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,1.125,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,1.1459999999999582,199.87192103561296,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.0149999999999864,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.0159999999999627,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,1.0299999999999727,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,1.0279999999999632,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,1.044999999999959,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,1.032000000000039,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,1.0249999999999773,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,1.0089999999999577,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,1.1569999999999965,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,1.1480000000000103,169.3107864357541,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,0.5519999999999925,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,0.554000000000002,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,0.5600000000000023,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,0.5520000000000067,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,0.5589999999999975,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,0.5479999999999876,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,0.5679999999999978,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,0.5589999999999975,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,0.43899999999999295,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,10,ok,0.4379999999999882,169.31471805599455,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.7549999999999955,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.8569999999999993,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,3,ok,1.7609999999999957,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,4,ok,1.740000000000009,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,5,ok,1.7920000000000016,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,6,ok,1.7940000000000111,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,7,ok,1.8569999999999993,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,8,ok,1.7560000000000002,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,9,ok,1.705,163.96660534185673,NA
