p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,AR2,pcglassoFast_Primal,I,3.5111917342151263e-8,0.01511250000007749,6.052679294535732
10,0.1,0,AR2,pcglassoFast_Primal,I,1.2328467394420646e-7,0.014225000000078581,6.052679485965914
10,0.1,0,AR2,pcglassoFast_Primal,I,4.328761281083054e-7,0.013062500000046384,6.0526803846582
10,0.1,0,AR2,pcglassoFast_Primal,I,1.5199110829529328e-6,0.011962500000140607,6.052682946144531
10,0.1,0,AR2,pcglassoFast_Primal,I,5.336699231206308e-6,0.010937500000045475,6.052691226110761
10,0.1,0,AR2,pcglassoFast_Primal,I,1.873817422860384e-5,0.00952499999993961,6.052731869613959
10,0.1,0,AR2,pcglassoFast_Primal,I,6.579332246575681e-5,0.008374999999955435,6.0528541416928014
10,0.1,0,AR2,pcglassoFast_Primal,I,2.310129700083161e-4,0.007124999999996362,6.053281908381771
10,0.1,0,AR2,pcglassoFast_Primal,I,8.11130830789687e-4,0.005825000000118053,6.054843331148411
10,0.1,0,AR2,pcglassoFast_Primal,I,0.002848035868435802,0.0041374999998424755,6.060228525047919
10,0.1,0,AR2,pcglassoFast_Primal,I,0.010000000000000004,0.0030750000000352882,6.069547596011044
10,0.1,0,hub_09,pcglasso,C,9.999999999999982e-9,0.02056250000000546,7.0799877885506355
10,0.1,0,hub_09,pcglasso,C,3.5111917342151263e-8,0.01832500000007258,7.079987782310543
10,0.1,0,hub_09,pcglasso,C,1.2328467394420646e-7,0.015912499999944884,7.079987843374438
10,0.1,0,hub_09,pcglasso,C,4.328761281083054e-7,0.013975000000118597,7.079988525836028
10,0.1,0,hub_09,pcglasso,C,1.5199110829529328e-6,0.011799999999971078,7.079998129538476
10,0.1,0,hub_09,pcglasso,C,5.336699231206308e-6,0.008850000000074942,7.080114284348692
10,0.1,0,hub_09,pcglasso,C,1.873817422860384e-5,0.006325000000038017,7.081352574604752
10,0.1,0,hub_09,pcglasso,C,6.579332246575681e-5,0.0039499999999861755,7.095907467091529
10,0.1,0,hub_09,pcglasso,C,2.310129700083161e-4,0.002725000000032196,7.1174610537756475
10,0.1,0,hub_09,pcglasso,C,8.11130830789687e-4,0.0019250000000965884,7.237799479687969
10,0.1,0,hub_09,pcglasso,C,0.002848035868435802,0.00210000000022319,7.237799479687969
10,0.1,0,hub_09,pcglasso,C,0.010000000000000004,0.0024375000000873117,7.237799479687969
10,0.1,0,hub_09,pcglasso,I,9.999999999999982e-9,0.021575000000143518,7.079987787507449
10,0.1,0,hub_09,pcglasso,I,3.5111917342151263e-8,0.021962500000199725,7.0799877941836336
10,0.1,0,hub_09,pcglasso,I,1.2328467394420646e-7,0.01939999999988231,7.079987818485478
10,0.1,0,hub_09,pcglasso,I,4.328761281083054e-7,0.01649999999999636,7.07998826915205
10,0.1,0,hub_09,pcglasso,I,1.5199110829529328e-6,0.014212500000303408,7.079996985757652
10,0.1,0,hub_09,pcglasso,I,5.336699231206308e-6,0.011287500000003092,7.080129609155611
10,0.1,0,hub_09,pcglasso,I,1.873817422860384e-5,0.00808750000001055,7.081354260968021
10,0.1,0,hub_09,pcglasso,I,6.579332246575681e-5,0.004825000000187174,7.105350815442047
10,0.1,0,hub_09,pcglasso,I,2.310129700083161e-4,0.003525000000217915,7.158829199791474
10,0.1,0,hub_09,pcglasso,I,8.11130830789687e-4,0.002000000000066393,7.509401810430025
10,0.1,0,hub_09,pcglasso,I,0.002848035868435802,0.0018499999998766725,7.485644975798539
10,0.1,0,hub_09,pcglasso,I,0.010000000000000004,0.0020000000000436557,7.485644975798539
10,0.1,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,0.03086249999996653,7.079987786928119
10,0.1,0,hub_09,pcglassoFast_Dual,C,3.5111917342151263e-8,0.03003750000009404,7.079987808909978
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.2328467394420646e-7,0.027137500000117144,7.079987847504422
10,0.1,0,hub_09,pcglassoFast_Dual,C,4.328761281083054e-7,0.0224750000000995,7.079987959355277
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.5199110829529328e-6,0.01991250000007767,7.079988580579337
10,0.1,0,hub_09,pcglassoFast_Dual,C,5.336699231206308e-6,0.016250000000013642,7.0799907731255365
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.873817422860384e-5,0.01156249999994543,7.080003946488365
10,0.1,0,hub_09,pcglassoFast_Dual,C,6.579332246575681e-5,0.008162499999980356,7.080077244923688
10,0.1,0,hub_09,pcglassoFast_Dual,C,2.310129700083161e-4,0.006587500000023283,7.080105270778375
10,0.1,0,hub_09,pcglassoFast_Dual,C,8.11130830789687e-4,0.0058375000001888114,7.080288565324286
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.002848035868435802,0.0030749999999898137,7.090259496846597
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,0.0021750000000565705,7.097604485284189
10,0.1,0,hub_09,pcglassoFast_Dual,I,9.999999999999982e-9,0.02921250000008513,7.079987785631365
10,0.1,0,hub_09,pcglassoFast_Dual,I,3.5111917342151263e-8,0.027637499999991634,7.079987798691249
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.2328467394420646e-7,0.02256250000007185,7.079988088354517
10,0.1,0,hub_09,pcglassoFast_Dual,I,4.328761281083054e-7,0.02151250000008531,7.079987961080243
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.5199110829529328e-6,0.017537499999957618,7.079988519491209
10,0.1,0,hub_09,pcglassoFast_Dual,I,5.336699231206308e-6,0.014262500000131694,7.079990715696495
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.873817422860384e-5,0.011499999999978172,7.079996882378199
10,0.1,0,hub_09,pcglassoFast_Dual,I,6.579332246575681e-5,0.009237500000108412,7.080018924573681
10,0.1,0,hub_09,pcglassoFast_Dual,I,2.310129700083161e-4,0.007625000000030013,7.080208865009465
10,0.1,0,hub_09,pcglassoFast_Dual,I,8.11130830789687e-4,0.005325000000175351,7.084685263301961
10,0.1,0,hub_09,pcglassoFast_Dual,I,0.002848035868435802,0.005462500000112414,7.083544032919268
10,0.1,0,hub_09,pcglassoFast_Dual,I,0.010000000000000004,0.0047750000001542505,7.085235268370512
10,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,0.009637499999917054,7.07998779176442
10,0.1,0,hub_09,pcglassoFast_Primal,C,3.5111917342151263e-8,0.008974999999963984,7.079987829287066
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.2328467394420646e-7,0.0082875000000512955,7.079987975866102
10,0.1,0,hub_09,pcglassoFast_Primal,C,4.328761281083054e-7,0.007850000000098589,7.079988269353112
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.5199110829529328e-6,0.007437500000037289,7.079989701929806
10,0.1,0,hub_09,pcglassoFast_Primal,C,5.336699231206308e-6,0.00635000000004311,7.079995544233984
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.873817422860384e-5,0.005662500000130422,7.080019044612833
10,0.1,0,hub_09,pcglassoFast_Primal,C,6.579332246575681e-5,0.004987499999992906,7.080067361004403
10,0.1,0,hub_09,pcglassoFast_Primal,C,2.310129700083161e-4,0.0041249999998171916,7.080313319969291
10,0.1,0,hub_09,pcglassoFast_Primal,C,8.11130830789687e-4,0.003150000000005093,7.081337854019158
10,0.1,0,hub_09,pcglassoFast_Primal,C,0.002848035868435802,0.002125000000091859,7.0851163683834955
10,0.1,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,0.0016625000000203727,7.091668247235232
10,0.1,0,hub_09,pcglassoFast_Primal,I,9.999999999999982e-9,0.01041250000000673,7.0799877937306
10,0.1,0,hub_09,pcglassoFast_Primal,I,3.5111917342151263e-8,0.009737500000119326,7.079987834751121
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.2328467394420646e-7,0.009100000000034924,7.079987989081294
10,0.1,0,hub_09,pcglassoFast_Primal,I,4.328761281083054e-7,0.008675000000084764,7.079988290869289
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.5199110829529328e-6,0.007749999999987267,7.079989727753062
10,0.1,0,hub_09,pcglassoFast_Primal,I,5.336699231206308e-6,0.0073499999999057765,7.079992625242264
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.873817422860384e-5,0.006499999999982719,7.08001138283663
10,0.1,0,hub_09,pcglassoFast_Primal,I,6.579332246575681e-5,0.005662499999993997,7.080082876608988
10,0.1,0,hub_09,pcglassoFast_Primal,I,2.310129700083161e-4,0.004837500000030559,7.080351045175234
10,0.1,0,hub_09,pcglassoFast_Primal,I,8.11130830789687e-4,0.003862500000104774,7.0813860566688644
10,0.1,0,hub_09,pcglassoFast_Primal,I,0.002848035868435802,0.003275000000212458,7.083488277574494
10,0.1,0,hub_09,pcglassoFast_Primal,I,0.010000000000000004,0.0021625000000767614,7.0946454978041675
10,0.1,0,hub_1,pcglasso,C,9.999999999999982e-9,0.06466250000003129,1.882173014936418
10,0.1,0,hub_1,pcglasso,C,3.5111917342151263e-8,0.05397500000015043,1.8821740543383196
10,0.1,0,hub_1,pcglasso,C,1.2328467394420646e-7,0.03901249999994434,1.8821774660596593
10,0.1,0,hub_1,pcglasso,C,4.328761281083054e-7,0.0342249999999467,1.8821812836508345
10,0.1,0,hub_1,pcglasso,C,1.5199110829529328e-6,0.02846250000006876,1.8822413769667006
10,0.1,0,hub_1,pcglasso,C,5.336699231206308e-6,0.01960000000005948,1.8829220411249772
10,0.1,0,hub_1,pcglasso,C,1.873817422860384e-5,0.012662500000010369,1.8865169919180627
10,0.1,0,hub_1,pcglasso,C,6.579332246575681e-5,0.00693750000007185,1.9307657506128564
10,0.1,0,hub_1,pcglasso,C,2.310129700083161e-4,0.004112500000019281,2.1720259959638013
10,0.1,0,hub_1,pcglasso,C,8.11130830789687e-4,0.003012499999977081,2.2923138963187184
10,0.1,0,hub_1,pcglasso,C,0.002848035868435802,0.003325000000131695,2.2923138963187184
10,0.1,0,hub_1,pcglasso,C,0.010000000000000004,0.0037625000000616636,2.2923138963187184
10,0.1,0,hub_1,pcglasso,I,9.999999999999982e-9,0.06158750000004147,1.882173013365182
10,0.1,0,hub_1,pcglasso,I,3.5111917342151263e-8,0.06051249999993615,1.882173064767885
10,0.1,0,hub_1,pcglasso,I,1.2328467394420646e-7,0.054812499999957257,1.882173505788038
10,0.1,0,hub_1,pcglasso,I,4.328761281083054e-7,0.04727499999999054,1.8821783515109225
10,0.1,0,hub_1,pcglasso,I,1.5199110829529328e-6,0.04032499999996162,1.882219607504968
10,0.1,0,hub_1,pcglasso,I,5.336699231206308e-6,0.026575000000093496,1.882995893364936
10,0.1,0,hub_1,pcglasso,I,1.873817422860384e-5,0.014299999999934698,1.8918354272758884
10,0.1,0,hub_1,pcglasso,I,6.579332246575681e-5,0.006762499999967986,2.0338485914173816
10,0.1,0,hub_1,pcglasso,I,2.310129700083161e-4,0.0037624999998570273,2.4790047011530962
10,0.1,0,hub_1,pcglasso,I,8.11130830789687e-4,0.0026499999999487047,2.917769905309334
10,0.1,0,hub_1,pcglasso,I,0.002848035868435802,0.001999999999998181,3.5095281520981363
10,0.1,0,hub_1,pcglasso,I,0.010000000000000004,0.0020749999999452482,3.8197396108859825
