p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_median,f_end
50,0.1,0,random,pcglassoFast_PrimalDual,I,6.309573444801935e-4,0.027000000000043656,37.66794480210305
50,0.1,0,random,pcglassoFast_PrimalDual,I,0.010000000000000004,0.0244999999998754,37.66853791880867
50,0.1,0.5,AR2,pcglasso,C,9.999999999999982e-9,0.06399999999996453,41.437338330606266
50,0.1,0.5,AR2,pcglasso,C,1.5848931924611096e-7,0.05700000000001637,41.43733841450854
50,0.1,0.5,AR2,pcglasso,C,2.5118864315095806e-6,0.052500000000009095,41.437338903492815
50,0.1,0.5,AR2,pcglasso,C,3.98107170553497e-5,0.03300000000001546,41.437551271577064
50,0.1,0.5,AR2,pcglasso,C,6.309573444801935e-4,0.01599999999996271,41.92700648134101
50,0.1,0.5,AR2,pcglasso,C,0.010000000000000004,0.0060000000000854925,65.89407656486767
50,0.1,0.5,AR2,pcglasso,I,9.999999999999982e-9,0.03600000000005821,41.43733833052912
50,0.1,0.5,AR2,pcglasso,I,1.5848931924611096e-7,0.02800000000002001,41.43733835007968
50,0.1,0.5,AR2,pcglasso,I,2.5118864315095806e-6,0.02699999999992997,41.43733899960545
50,0.1,0.5,AR2,pcglasso,I,3.98107170553497e-5,0.013499999999908141,41.43787984715608
50,0.1,0.5,AR2,pcglasso,I,6.309573444801935e-4,0.005000000000109139,41.46922578231699
50,0.1,0.5,AR2,pcglasso,I,0.010000000000000004,0.004000000000132786,41.49211227697017
50,0.1,0.5,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,0.010999999999967258,41.43733833072453
50,0.1,0.5,AR2,pcglassoFast_Dual,C,1.5848931924611096e-7,0.010500000000092768,41.43733834741815
50,0.1,0.5,AR2,pcglassoFast_Dual,C,2.5118864315095806e-6,0.009999999999990905,41.43733848012058
50,0.1,0.5,AR2,pcglassoFast_Dual,C,3.98107170553497e-5,0.009000000000014552,41.43733968543371
50,0.1,0.5,AR2,pcglassoFast_Dual,C,6.309573444801935e-4,0.008000000000265572,41.43735124127871
50,0.1,0.5,AR2,pcglassoFast_Dual,C,0.010000000000000004,0.009000000000014552,41.4374658231167
50,0.1,0.5,AR2,pcglassoFast_Dual,I,9.999999999999982e-9,0.007000000000061846,41.4373383311964
50,0.1,0.5,AR2,pcglassoFast_Dual,I,1.5848931924611096e-7,0.007000000000061846,41.43733833573696
50,0.1,0.5,AR2,pcglassoFast_Dual,I,2.5118864315095806e-6,0.006500000000073669,41.43733837873472
50,0.1,0.5,AR2,pcglassoFast_Dual,I,3.98107170553497e-5,0.005999999999858119,41.43733878520149
50,0.1,0.5,AR2,pcglassoFast_Dual,I,6.309573444801935e-4,0.00450000000023465,41.437386069455584
50,0.1,0.5,AR2,pcglassoFast_Dual,I,0.010000000000000004,0.0039999999999054126,41.43780220750118
50,0.1,0.5,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,0.01900000000023283,41.43733833199219
50,0.1,0.5,AR2,pcglassoFast_Primal,C,1.5848931924611096e-7,0.01850000000001728,41.43733833885961
50,0.1,0.5,AR2,pcglassoFast_Primal,C,2.5118864315095806e-6,0.016499999999950887,41.43733838983033
50,0.1,0.5,AR2,pcglassoFast_Primal,C,3.98107170553497e-5,0.014000000000123691,41.43734140916917
50,0.1,0.5,AR2,pcglassoFast_Primal,C,6.309573444801935e-4,0.013999999999896318,41.43736093997053
50,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,0.010999999999967258,41.43858321346863
50,0.1,0.5,AR2,pcglassoFast_Primal,I,9.999999999999982e-9,0.01499999999987267,41.43733833115183
50,0.1,0.5,AR2,pcglassoFast_Primal,I,1.5848931924611096e-7,0.014499999999884494,41.43733833423911
50,0.1,0.5,AR2,pcglassoFast_Primal,I,2.5118864315095806e-6,0.011999999999943611,41.43733851906152
50,0.1,0.5,AR2,pcglassoFast_Primal,I,3.98107170553497e-5,0.009999999999990905,41.43733966499697
50,0.1,0.5,AR2,pcglassoFast_Primal,I,6.309573444801935e-4,0.008000000000038199,41.43740647764324
50,0.1,0.5,AR2,pcglassoFast_Primal,I,0.010000000000000004,0.007000000000061846,41.43783259599882
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,9.999999999999982e-9,0.04150000000004184,41.4373383310704
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,1.5848931924611096e-7,0.035000000000081855,41.43733835008257
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,2.5118864315095806e-6,0.0340000000001055,41.43733845585841
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,3.98107170553497e-5,0.030000000000086402,41.43734365527869
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,6.309573444801935e-4,0.02500000000009095,41.437373820562414
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,C,0.010000000000000004,0.01999999999998181,41.43895203614584
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,9.999999999999982e-9,0.03099999999994907,41.437338332284355
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,1.5848931924611096e-7,0.02949999999998454,41.43733833936937
