"p","structure","best_value"
10,"hub",2.47831752924693
10,"line",5.99144890799731
50,"hub",15.8990125866966
50,"line",24.6395995543659
100,"hub",31.0790910796133
100,"line",53.3323555313102
150,"hub",46.06425017406
150,"line",83.9376403110553
