p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,AR2,pcglassoFast_Primal,I,1.2328467394420646e-7,0.007212500000105137,7.243018109899532
10,0.1,0,AR2,pcglassoFast_Primal,I,4.328761281083054e-7,0.006512499999996635,7.243018399584342
10,0.1,0,AR2,pcglassoFast_Primal,I,1.5199110829529328e-6,0.005887500000062574,7.243019374912652
10,0.1,0,AR2,pcglassoFast_Primal,I,5.336699231206308e-6,0.005475000000046748,7.243022857508783
10,0.1,0,AR2,pcglassoFast_Primal,I,1.873817422860384e-5,0.004824999999999591,7.243036226788061
10,0.1,0,AR2,pcglassoFast_Primal,I,6.579332246575681e-5,0.00439999999993006,7.243054575362379
10,0.1,0,AR2,pcglassoFast_Primal,I,2.310129700083161e-4,0.003762499999999136,7.243181003262409
10,0.1,0,AR2,pcglassoFast_Primal,I,8.11130830789687e-4,0.003374999999991246,7.24338593086753
10,0.1,0,AR2,pcglassoFast_Primal,I,0.002848035868435802,0.0030874999999966233,7.24389507724749
10,0.1,0,AR2,pcglassoFast_Primal,I,0.010000000000000004,0.0027624999999936507,7.245234244877188
10,0.1,0,hub_09,pcglasso,C,9.999999999999982e-9,0.017500000000040927,5.834525332586685
10,0.1,0,hub_09,pcglasso,C,3.5111917342151263e-8,0.015937500000063665,5.834525340158221
10,0.1,0,hub_09,pcglasso,C,1.2328467394420646e-7,0.012187500000118234,5.834525787153676
10,0.1,0,hub_09,pcglasso,C,4.328761281083054e-7,0.009962499999983266,5.834528547243725
10,0.1,0,hub_09,pcglasso,C,1.5199110829529328e-6,0.009275000000002365,5.8345316457701335
10,0.1,0,hub_09,pcglasso,C,5.336699231206308e-6,0.007275000000049658,5.8345979226656866
10,0.1,0,hub_09,pcglasso,C,1.873817422860384e-5,0.005975000000040609,5.835021869307891
10,0.1,0,hub_09,pcglasso,C,6.579332246575681e-5,0.004100000000028104,5.846458422187529
10,0.1,0,hub_09,pcglasso,C,2.310129700083161e-4,0.003175000000010186,5.8668827628963385
10,0.1,0,hub_09,pcglasso,C,8.11130830789687e-4,0.002199999999996294,6.202670263246617
10,0.1,0,hub_09,pcglasso,C,0.002848035868435802,0.002374999999996419,6.202670263246617
10,0.1,0,hub_09,pcglasso,C,0.010000000000000004,0.00273749999999886,6.202670263246617
10,0.1,0,hub_09,pcglasso,I,9.999999999999982e-9,0.018049999999902866,5.834525334684048
10,0.1,0,hub_09,pcglasso,I,3.5111917342151263e-8,0.017800000000033834,5.834525359285622
10,0.1,0,hub_09,pcglasso,I,1.2328467394420646e-7,0.016037500000106775,5.834525496889819
10,0.1,0,hub_09,pcglasso,I,4.328761281083054e-7,0.014249999999901775,5.834526207761204
10,0.1,0,hub_09,pcglasso,I,1.5199110829529328e-6,0.010837499999968258,5.834563224283598
10,0.1,0,hub_09,pcglasso,I,5.336699231206308e-6,0.010262499999976171,5.834591306626929
10,0.1,0,hub_09,pcglasso,I,1.873817422860384e-5,0.007662500000054706,5.835663498445353
10,0.1,0,hub_09,pcglasso,I,6.579332246575681e-5,0.005337500000013051,5.847951129758276
10,0.1,0,hub_09,pcglasso,I,2.310129700083161e-4,0.003662500000007185,5.942321421752349
10,0.1,0,hub_09,pcglasso,I,8.11130830789687e-4,0.0025250000000028193,6.164448924686043
10,0.1,0,hub_09,pcglasso,I,0.002848035868435802,0.0023500000000012734,6.22802062506335
10,0.1,0,hub_09,pcglasso,I,0.010000000000000004,0.002587499999995657,6.22802062506335
10,0.1,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,0.01553750000009586,5.8345253628879155
10,0.1,0,hub_09,pcglassoFast_Dual,C,3.5111917342151263e-8,0.014387500000225373,5.834525424873056
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.2328467394420646e-7,0.014124999999989996,5.834525448033469
10,0.1,0,hub_09,pcglassoFast_Dual,C,4.328761281083054e-7,0.0116250000001628,5.834526711689752
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.5199110829529328e-6,0.009962499999971897,5.834530448217695
10,0.1,0,hub_09,pcglassoFast_Dual,C,5.336699231206308e-6,0.009037500000016508,5.834533630999808
10,0.1,0,hub_09,pcglassoFast_Dual,C,1.873817422860384e-5,0.007637500000021192,5.8345828305746785
10,0.1,0,hub_09,pcglassoFast_Dual,C,6.579332246575681e-5,0.006399999999973716,5.8346578397608635
10,0.1,0,hub_09,pcglassoFast_Dual,C,2.310129700083161e-4,0.005362499999992565,5.834929158152168
10,0.1,0,hub_09,pcglassoFast_Dual,C,8.11130830789687e-4,0.004937499999992667,5.835093056319734
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.002848035868435802,0.004562500000005798,5.835576057821869
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,0.00371250000000245,5.839467055701565
10,0.1,0,hub_09,pcglassoFast_Dual,I,9.999999999999982e-9,0.01442500000025575,5.834525348481676
10,0.1,0,hub_09,pcglassoFast_Dual,I,3.5111917342151263e-8,0.015937499999949978,5.834525369109852
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.2328467394420646e-7,0.014062499999886314,5.83452563399625
10,0.1,0,hub_09,pcglassoFast_Dual,I,4.328761281083054e-7,0.01352500000011787,5.834525734692784
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.5199110829529328e-6,0.011824999999964803,5.834528906082078
10,0.1,0,hub_09,pcglassoFast_Dual,I,5.336699231206308e-6,0.01181250000000773,5.834528906082078
10,0.1,0,hub_09,pcglassoFast_Dual,I,1.873817422860384e-5,0.010212499999965985,5.834546877154718
10,0.1,0,hub_09,pcglassoFast_Dual,I,6.579332246575681e-5,0.008537499999994225,5.8346736544037485
10,0.1,0,hub_09,pcglassoFast_Dual,I,2.310129700083161e-4,0.007374999999984766,5.834931735195261
10,0.1,0,hub_09,pcglassoFast_Dual,I,8.11130830789687e-4,0.006387499999974011,5.835355038287209
10,0.1,0,hub_09,pcglassoFast_Dual,I,0.002848035868435802,0.005637499999993167,5.836416756096439
10,0.1,0,hub_09,pcglassoFast_Dual,I,0.010000000000000004,0.004925000000005753,5.838044417382286
10,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,0.013575000000037108,5.834525341678066
10,0.1,0,hub_09,pcglassoFast_Primal,C,3.5111917342151263e-8,0.012899999999854117,5.834525373814839
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.2328467394420646e-7,0.012212500000032378,5.834525499844491
10,0.1,0,hub_09,pcglassoFast_Primal,C,4.328761281083054e-7,0.011387500000000727,5.834525988793695
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.5199110829529328e-6,0.01076249999995298,5.834527728452866
10,0.1,0,hub_09,pcglassoFast_Primal,C,5.336699231206308e-6,0.01002499999998463,5.834533698045114
10,0.1,0,hub_09,pcglassoFast_Primal,C,1.873817422860384e-5,0.009062499999998863,5.834553609404769
10,0.1,0,hub_09,pcglassoFast_Primal,C,6.579332246575681e-5,0.007937500000019781,5.834622435824007
10,0.1,0,hub_09,pcglassoFast_Primal,C,2.310129700083161e-4,0.006637500000005047,5.835146762415895
10,0.1,0,hub_09,pcglassoFast_Primal,C,8.11130830789687e-4,0.004862500000007231,5.8368649353014375
10,0.1,0,hub_09,pcglassoFast_Primal,C,0.002848035868435802,0.0037875000000006766,5.83990051240387
10,0.1,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,0.0027375000000009917,5.850034512412694
10,0.1,0,hub_09,pcglassoFast_Primal,I,9.999999999999982e-9,0.010512499999822466,5.834525346647902
10,0.1,0,hub_09,pcglassoFast_Primal,I,3.5111917342151263e-8,0.011174999999980173,5.834525370013987
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.2328467394420646e-7,0.01052500000002965,5.83452548281047
10,0.1,0,hub_09,pcglassoFast_Primal,I,4.328761281083054e-7,0.009862500000053842,5.834525917567611
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.5199110829529328e-6,0.00908750000002101,5.834527482993467
10,0.1,0,hub_09,pcglassoFast_Primal,I,5.336699231206308e-6,0.008362500000009732,5.834533020911717
10,0.1,0,hub_09,pcglassoFast_Primal,I,1.873817422860384e-5,0.0074874999999735795,5.834552399906289
10,0.1,0,hub_09,pcglassoFast_Primal,I,6.579332246575681e-5,0.006437499999998408,5.834623119537413
10,0.1,0,hub_09,pcglassoFast_Primal,I,2.310129700083161e-4,0.00525000000001512,5.835037378166506
10,0.1,0,hub_09,pcglassoFast_Primal,I,8.11130830789687e-4,0.004324999999994361,5.836024575001131
10,0.1,0,hub_09,pcglassoFast_Primal,I,0.002848035868435802,0.0035375000000016144,5.837834534258542
10,0.1,0,hub_09,pcglassoFast_Primal,I,0.010000000000000004,0.0027874999999994545,5.844020985483517
10,0.1,0,hub_1,pcglasso,C,9.999999999999982e-9,0.022974999999905776,2.7189676704784405
10,0.1,0,hub_1,pcglasso,C,3.5111917342151263e-8,0.018412500000022192,2.718967676036341
10,0.1,0,hub_1,pcglasso,C,1.2328467394420646e-7,0.01691249999996671,2.71896769626105
10,0.1,0,hub_1,pcglasso,C,4.328761281083054e-7,0.014562499999931333,2.718968188264677
10,0.1,0,hub_1,pcglasso,C,1.5199110829529328e-6,0.012100000000009459,2.7189834918848614
10,0.1,0,hub_1,pcglasso,C,5.336699231206308e-6,0.00996250000002874,2.7190831312610113
10,0.1,0,hub_1,pcglasso,C,1.873817422860384e-5,0.00788750000000391,2.7201281626775398
