p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.1,0,line,pcglasso_cpp,I,9.999999999999982e-9,0.007999999999981355,5.52183706018071
10,0.8,0.1,0,line,pcglasso_cpp,I,3.5111917342151263e-8,0.007000000000005002,5.521837092627198
10,0.8,0.1,0,line,pcglasso_cpp,I,1.2328467394420646e-7,0.007000000000005002,5.521837221035455
10,0.8,0.1,0,line,pcglasso_cpp,I,4.328761281083054e-7,0.006500000000016826,5.521837735815319
10,0.8,0.1,0,line,pcglasso_cpp,I,1.5199110829529328e-6,0.01099999999999568,5.521839736031124
10,0.8,0.1,0,line,pcglasso_cpp,I,5.336699231206308e-6,0.0049999999999954525,5.521843631092745
10,0.8,0.1,0,line,pcglasso_cpp,I,1.873817422860384e-5,0.004500000000007276,5.5218619970616984
10,0.8,0.1,0,line,pcglasso_cpp,I,6.579332246575681e-5,0.003999999999962256,5.5219347853147385
10,0.8,0.1,0,line,pcglasso_cpp,I,2.310129700083161e-4,0.002999999999985903,5.522109236462765
10,0.8,0.1,0,line,pcglasso_cpp,I,8.11130830789687e-4,0.002999999999985903,5.522321818939716
10,0.8,0.1,0,line,pcglasso_cpp,I,0.002848035868435802,0.0030000000000143245,5.523633200923151
10,0.8,0.1,0,line,pcglasso_cpp,I,0.010000000000000004,0.006000000000000227,5.525561470476854
10,0.8,0.1,0,line,pcglasso_fortran,C,9.999999999999982e-9,0.014999999999957936,5.5218370651059665
10,0.8,0.1,0,line,pcglasso_fortran,C,3.5111917342151263e-8,0.009000000000014552,5.521837105793409
10,0.8,0.1,0,line,pcglasso_fortran,C,1.2328467394420646e-7,0.007000000000005002,5.5218376833904355
10,0.8,0.1,0,line,pcglasso_fortran,C,4.328761281083054e-7,0.007000000000005002,5.521837943837155
10,0.8,0.1,0,line,pcglasso_fortran,C,1.5199110829529328e-6,0.0055000000000404725,5.521838969511842
10,0.8,0.1,0,line,pcglasso_fortran,C,5.336699231206308e-6,0.005499999999983629,5.521846160177579
10,0.8,0.1,0,line,pcglasso_fortran,C,1.873817422860384e-5,0.004499999999978854,5.521870246512101
10,0.8,0.1,0,line,pcglasso_fortran,C,6.579332246575681e-5,0.003999999999990678,5.52191051710405
10,0.8,0.1,0,line,pcglasso_fortran,C,2.310129700083161e-4,0.004000000000019099,5.521953307631953
10,0.8,0.1,0,line,pcglasso_fortran,C,8.11130830789687e-4,0.002999999999985903,5.522788615973229
10,0.8,0.1,0,line,pcglasso_fortran,C,0.002848035868435802,0.0020000000000095497,5.523462331047059
10,0.8,0.1,0,line,pcglasso_fortran,C,0.010000000000000004,0.0030000000000143245,5.525702209785238
10,0.8,0.1,0,line,pcglasso_fortran,I,9.999999999999982e-9,0.018000000000029104,5.521837066940659
10,0.8,0.1,0,line,pcglasso_fortran,I,3.5111917342151263e-8,0.018000000000000682,5.521837085082427
10,0.8,0.1,0,line,pcglasso_fortran,I,1.2328467394420646e-7,0.01099999999999568,5.5218371983899726
10,0.8,0.1,0,line,pcglasso_fortran,I,4.328761281083054e-7,0.009000000000014552,5.521837914393716
10,0.8,0.1,0,line,pcglasso_fortran,I,1.5199110829529328e-6,0.009000000000014552,5.521839898097812
10,0.8,0.1,0,line,pcglasso_fortran,I,5.336699231206308e-6,0.013500000000021828,5.521846008610389
10,0.8,0.1,0,line,pcglasso_fortran,I,1.873817422860384e-5,0.012500000000017053,5.521885043659111
10,0.8,0.1,0,line,pcglasso_fortran,I,6.579332246575681e-5,0.006000000000028649,5.521934426851129
10,0.8,0.1,0,line,pcglasso_fortran,I,2.310129700083161e-4,0.005499999999983629,5.522055974009505
10,0.8,0.1,0,line,pcglasso_fortran,I,8.11130830789687e-4,0.01099999999999568,5.522147723501089
10,0.8,0.1,0,line,pcglasso_fortran,I,0.002848035868435802,0.004500000000007276,5.522519374178432
10,0.8,0.1,0,line,pcglasso_fortran,I,0.010000000000000004,0.004000000000019099,5.523593665328168
10,0.8,0.1,0.5,line,pcglasso,C,9.999999999999982e-9,0.069500000000005,7.667101073660166
10,0.8,0.1,0.5,line,pcglasso,C,3.5111917342151263e-8,0.04550000000000409,7.667101073660169
10,0.8,0.1,0.5,line,pcglasso,C,1.2328467394420646e-7,0.039499999999975444,7.667101073660223
10,0.8,0.1,0.5,line,pcglasso,C,4.328761281083054e-7,0.035499999999984766,7.6671010736602545
10,0.8,0.1,0.5,line,pcglasso,C,1.5199110829529328e-6,0.039500000000003865,7.66710107366493
10,0.8,0.1,0.5,line,pcglasso,C,5.336699231206308e-6,0.02600000000001046,7.667101073800607
10,0.8,0.1,0.5,line,pcglasso,C,1.873817422860384e-5,0.016999999999995907,7.667101078427607
10,0.8,0.1,0.5,line,pcglasso,C,6.579332246575681e-5,0.01650000000000773,7.6671010778822986
10,0.8,0.1,0.5,line,pcglasso,C,2.310129700083161e-4,0.013999999999981583,7.667101113887776
10,0.8,0.1,0.5,line,pcglasso,C,8.11130830789687e-4,0.01249999999996021,7.6671017291652035
10,0.8,0.1,0.5,line,pcglasso,C,0.002848035868435802,0.021500000000003183,7.667107828644353
10,0.8,0.1,0.5,line,pcglasso,C,0.010000000000000004,0.009500000000002728,7.667197318785466
10,0.8,0.1,0.5,line,pcglasso,I,9.999999999999982e-9,0.03699999999997772,7.667101073660167
10,0.8,0.1,0.5,line,pcglasso,I,3.5111917342151263e-8,0.04049999999998022,7.667101073660167
10,0.8,0.1,0.5,line,pcglasso,I,1.2328467394420646e-7,0.038000000000010914,7.667101073660189
10,0.8,0.1,0.5,line,pcglasso,I,4.328761281083054e-7,0.035499999999984766,7.667101073660382
10,0.8,0.1,0.5,line,pcglasso,I,1.5199110829529328e-6,0.027000000000015234,7.667101073676845
10,0.8,0.1,0.5,line,pcglasso,I,5.336699231206308e-6,0.024499999999989086,7.667101073843467
10,0.8,0.1,0.5,line,pcglasso,I,1.873817422860384e-5,0.014500000000026603,7.667101078499185
10,0.8,0.1,0.5,line,pcglasso,I,6.579332246575681e-5,0.014000000000038426,7.667101077932687
10,0.8,0.1,0.5,line,pcglasso,I,2.310129700083161e-4,0.012500000000017053,7.6671011143880845
10,0.8,0.1,0.5,line,pcglasso,I,8.11130830789687e-4,0.01099999999999568,7.667101735790419
10,0.8,0.1,0.5,line,pcglasso,I,0.002848035868435802,0.009999999999990905,7.667108009107009
10,0.8,0.1,0.5,line,pcglasso,I,0.010000000000000004,0.009500000000002728,7.667189712245016
10,0.8,0.1,0.5,line,pcglasso_cpp,C,9.999999999999982e-9,0.005500000000012051,7.667101076408484
