p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
10,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.011000000000002785,6.658495642552884,NA
50,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.01999999999999602,47.781420345960335,NA
50,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.029000000000003467,47.781420345960335,NA
100,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.07099999999999795,98.58903755165396,NA
100,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.06800000000000495,98.58903755165396,NA
150,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.1810000000000045,148.96033458339994,NA
150,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.18499999999999517,148.96033458339994,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.42499999999999716,199.66308915869644,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.43200000000000216,199.66308915869644,NA
10,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.009000000000000341,7.503352156035336,NA
10,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.006999999999997897,7.503352156035336,NA
50,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.016999999999995907,41.78197494433956,NA
50,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.016999999999995907,41.78197494433956,NA
100,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.056999999999995055,84.39708285803049,NA
100,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.0660000000000025,84.39708285803049,NA
150,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.21299999999999386,126.87619214472035,NA
150,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.21300000000000097,126.87619214472035,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.7889999999999944,169.31030126894294,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.7970000000000041,169.31030126894294,NA
10,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.010000000000005116,8.09059817959293,NA
10,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.007999999999995566,8.09059817959293,NA
50,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.021999999999998465,42.32881777661524,NA
50,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.02300000000000324,42.32881777661524,NA
100,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.08600000000000563,84.65735902799727,NA
100,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.08500000000000085,84.65735902799727,NA
150,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.2079999999999984,126.9860385419959,NA
150,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.1869999999999976,126.9860385419959,NA
