p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,AR2,pcglasso,C,9.999999999999982e-9,0.020774999999980538,7.243017995265727
10,0.1,0,AR2,pcglasso,C,3.5111917342151263e-8,0.018749999999954525,7.243017983382435
10,0.1,0,AR2,pcglasso,C,1.2328467394420646e-7,0.016975000000047657,7.243018025992904
10,0.1,0,AR2,pcglasso,C,4.328761281083054e-7,0.014775000000065574,7.243018787299703
10,0.1,0,AR2,pcglasso,C,1.5199110829529328e-6,0.013525000000026922,7.243024541509983
10,0.1,0,AR2,pcglasso,C,5.336699231206308e-6,0.011049999999983129,7.243109083064619
10,0.1,0,AR2,pcglasso,C,1.873817422860384e-5,0.0083249999999907235,7.243961949273018
10,0.1,0,AR2,pcglasso,C,6.579332246575681e-5,0.005574999999970487,7.256693411307989
10,0.1,0,AR2,pcglasso,C,2.310129700083161e-4,0.0033500000000060482,7.337858827266761
10,0.1,0,AR2,pcglasso,C,8.11130830789687e-4,0.002450000000006014,7.93776216811194
10,0.1,0,AR2,pcglasso,C,0.002848035868435802,0.0019999999999924965,7.883046182264242
10,0.1,0,AR2,pcglasso,C,0.010000000000000004,0.0022250000000006765,7.883046182264242
10,0.1,0,AR2,pcglasso,I,9.999999999999982e-9,0.02852499999985412,7.243017978212006
10,0.1,0,AR2,pcglasso,I,3.5111917342151263e-8,0.020099999999888495,7.243017979934402
10,0.1,0,AR2,pcglasso,I,1.2328467394420646e-7,0.01827500000006239,7.2430180150958225
10,0.1,0,AR2,pcglasso,I,4.328761281083054e-7,0.015625000000034105,7.243019018028551
10,0.1,0,AR2,pcglasso,I,1.5199110829529328e-6,0.014074999999968441,7.24302423945016
10,0.1,0,AR2,pcglasso,I,5.336699231206308e-6,0.011699999999984811,7.243126765203474
10,0.1,0,AR2,pcglasso,I,1.873817422860384e-5,0.00837499999998954,7.244291897177638
10,0.1,0,AR2,pcglasso,I,6.579332246575681e-5,0.005799999999999273,7.255907903611943
10,0.1,0,AR2,pcglasso,I,2.310129700083161e-4,0.004250000000001819,7.275522675378233
